Postcode,Borough,Neighbourhood,latitude,longitude
M5R,Central Toronto,Yorkville,43.6713861,-79.3901677
M3J,North York,York University,43.7792419,-79.4835593
M2P,North York,York Mills West,43.7440391,-79.406657
M2L,North York,York Mills,43.7440391,-79.406657
M4C,East York,Woodbine Heights,43.6999302,-79.3191316
M4B,East York,Woodbine Gardens,43.7120785,-79.3025673
M1G,Scarborough,Woburn,43.7598243,-79.2252908
M3H,North York,Wilson Heights,43.7405195,-79.4400172
M2R,North York,Willowdale West,43.7615095,-79.4109234
M2N,North York,Willowdale South,43.7615095,-79.4109234
M2M,North York,Willowdale,43.7615095,-79.4109234
M1P,Scarborough,Wexford Heights,43.7432421,-79.304641
M1R,Scarborough,Wexford,43.7453767,-79.2947155
M9N,York,Weston,43.7001608,-79.5162474
M9P,Etobicoke,Westmount,43.6936399,-79.5210426
M1E,Scarborough,West Hill,43.7689144,-79.1872905
M9B,Etobicoke,West Deane Park,43.6631995,-79.5685684
M4A,North York,Victoria Village,43.732658,-79.3111892
M5L,Downtown Toronto,Victoria Hotel,43.66946915,-79.37326825
M6L,North York,Upwood Park,43.708654499999994,-79.50254644741823
M1X,Scarborough,Upper Rouge,43.8049304,-79.1658374
M5S,Downtown Toronto,University of Toronto,43.663461999999996,-79.39775965337452
M5J,Downtown Toronto,Union Station,43.6446934,-79.38013200585965
M5X,Downtown Toronto,Underground city,43.7701454,-79.3748625
M6J,West Toronto,Trinity,43.665301549999995,-79.39525214965947
M5J,Downtown Toronto,Toronto Islands,43.6161962,-79.3693582
M5K,Downtown Toronto,Toronto Dominion Centre,43.6473768,-79.3813719429129
M4H,East York,Thorncliffe Park,43.704553,-79.3454074
M9V,Etobicoke,Thistletown,43.7372656,-79.5653169
M8Z,Etobicoke,The Queensway West,43.6236182,-79.5147637
M8Y,Etobicoke,The Queensway East,43.6093093,-79.5677317
M8X,Etobicoke,The Kingsway,43.6473811,-79.5113328
M6P,West Toronto,The Junction South,43.6654775,-79.470352
M6N,York,The Junction North,43.6654775,-79.470352
M4K,East Toronto,The Danforth West,43.6864333,-79.3003555
M4L,East Toronto,The Beaches West,43.6710244,-79.296712
M4E,East Toronto,The Beaches,43.6710244,-79.296712
M5R,Central Toronto,The Annex,43.6703377,-79.407117
M1T,Scarborough,Tam O'Shanter,43.7810454,-79.2980941
M6S,West Toronto,Swansea,43.64494,-79.478313
M8Y,Etobicoke,Sunnylea,43.64159705,-79.5016654011084
M4V,Central Toronto,Summerhill West,43.6816776,-79.3905037
M4T,Central Toronto,Summerhill East,43.6816776,-79.3905037
M1T,Scarborough,Sullivan,43.7726802,-79.3159449
M4M,East Toronto,Studio District,43.6444029,-79.3878907
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,0.0,0.0
M1V,Scarborough,Steeles East,43.8161778,-79.3145378
M9R,Etobicoke,St. Phillips,43.7000483,-79.5437651
M5C,Downtown Toronto,St. James Town,43.6694032,-79.3727041
M4X,Downtown Toronto,St. James Town,43.6694032,-79.3727041
M9V,Etobicoke,South Steeles,43.8161778,-79.3145378
M8Z,Etobicoke,South of Bloor,43.66766165,-79.39469797351879
M5V,Downtown Toronto,South Niagara,43.6446702,-79.4091943
M4V,Central Toronto,South Hill,43.6779261,-79.4057671
M6M,York,Silverthorn,43.682123,-79.4715724
M9V,Etobicoke,Silverstone,43.749750899999995,-79.59911593109416
M2L,North York,Silver Hills,43.7612224,-79.3683818
M1M,Scarborough,Scarborough Village West,43.7437422,-79.2116324
M1J,Scarborough,Scarborough Village,43.7437422,-79.2116324
M1P,Scarborough,Scarborough Town Centre,43.7761341,-79.25843763592165
M5B,Downtown Toronto,Ryerson,43.65846945,-79.37899327245886
M6N,York,Runnymede,43.6517026,-79.4759978
M6S,West Toronto,Runnymede,43.6517026,-79.4759978
M8Z,Etobicoke,Royal York South West,43.6481827,-79.5112961
M8Y,Etobicoke,Royal York South East,43.6481827,-79.5112961
M1C,Scarborough,Rouge Hill,43.7802711,-79.1304992
M1B,Scarborough,Rouge,43.8049304,-79.1658374
M5N,Central Toronto,Roselawn,43.6994563,-79.4546164
M4W,Downtown Toronto,Rosedale,43.6783556,-79.3807457
M6R,West Toronto,Roncesvalles,43.6514426,-79.4510381
M4K,East Toronto,Riverdale,43.6654704,-79.3525936
M9R,Etobicoke,Richview Gardens,43.6848335,-79.5482883
M5H,Downtown Toronto,Richmond,43.8125891,-79.2633703893962
M4V,Central Toronto,Rathnelly,43.6783953,-79.4008217
M5V,Downtown Toronto,Railway Lands,0.0,0.0
M7A,Downtown Toronto,Queen's Park,43.659659,-79.3903399
M9B,Etobicoke,Princess Gardens,43.6404664,-79.3912237
M1C,Scarborough,Port Union,43.7755039,-79.1349765
M3A,North York,Parkwoods,43.7578464,-79.3159749
M4B,East York,Parkview Hill,43.7062977,-79.3219073
M6K,West Toronto,Parkdale Village,43.6404954,-79.4368965
M6R,West Toronto,Parkdale,43.6404954,-79.4368965
